"filename", "language", "Markdown", "Java", "comment", "blank", "total"
"c:\JavaProjects\Sudoku\README.md", "Markdown", 36, 0, 0, 6, 42
"c:\JavaProjects\Sudoku\src\sudoku\Cell.java", "Java", 0, 63, 21, 5, 89
"c:\JavaProjects\Sudoku\src\sudoku\CellStatus.java", "Java", 0, 8, 6, 0, 14
"c:\JavaProjects\Sudoku\src\sudoku\DifficultySelectListener.java", "Java", 0, 57, 19, 19, 95
"c:\JavaProjects\Sudoku\src\sudoku\GameBoardPanel.java", "Java", 0, 232, 90, 42, 364
"c:\JavaProjects\Sudoku\src\sudoku\MainMenuPanel.java", "Java", 0, 62, 9, 20, 91
"c:\JavaProjects\Sudoku\src\sudoku\Puzzle.java", "Java", 0, 85, 35, 27, 147
"c:\JavaProjects\Sudoku\src\sudoku\SudokuConstants.java", "Java", 0, 5, 5, 0, 10
"c:\JavaProjects\Sudoku\src\sudoku\SudokuDifficulty.java", "Java", 0, 4, 0, 2, 6
"c:\JavaProjects\Sudoku\src\sudoku\SudokuMain.java", "Java", 0, 45, 31, 18, 94
"c:\JavaProjects\Sudoku\src\sudoku\SudokuMenu.java", "Java", 0, 62, 12, 21, 95
"Total", "-", 36, 623, 228, 160, 1047
